Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,163.960007,163.960007,162.580002,162.580002,162.580002,0
2007-01-04,162.580002,162.580002,161.080002,161.080002,161.080002,0
2007-01-05,161.080002,161.080002,160.869995,160.869995,160.869995,0
2007-01-08,159.720001,159.720001,159.720001,159.720001,159.720001,0
2007-01-09,159.720001,159.970001,159.720001,159.970001,159.970001,0
2007-01-10,159.970001,160.009995,159.970001,160.009995,160.009995,0
2007-01-11,160.009995,160.009995,159.119995,159.119995,159.119995,0
2007-01-12,159.119995,159.119995,158.410004,158.410004,158.410004,0
2007-01-15,158.630005,158.630005,158.630005,158.630005,158.630005,0
2007-01-16,158.630005,159.289993,158.630005,159.289993,159.289993,0
2007-01-17,159.289993,159.289993,158.539993,158.539993,158.539993,0
2007-01-18,158.539993,158.770004,158.539993,158.770004,158.770004,0
2007-01-19,158.770004,158.990005,158.770004,158.990005,158.990005,0
2007-01-22,158.990005,158.990005,158.899994,158.899994,158.899994,0
2007-01-23,158.899994,159.850006,158.899994,159.850006,159.850006,0
2007-01-24,159.850006,159.850006,159.470001,159.470001,159.470001,0
2007-01-25,159.470001,159.470001,159.300003,159.300003,159.300003,0
2007-01-26,158.529999,158.529999,158.529999,158.529999,158.529999,0
2007-01-29,158.529999,158.559998,158.529999,158.559998,158.559998,0
2007-01-30,158.559998,159.119995,158.559998,159.119995,159.119995,0
2007-01-31,159.119995,159.119995,158.770004,158.770004,158.770004,0
2007-02-01,158.770004,160.449997,158.770004,160.449997,160.449997,0
2007-02-02,160.449997,160.449997,160.009995,160.009995,160.009995,0
2007-02-05,160.009995,160.009995,158.770004,158.770004,158.770004,0
2007-02-06,158.770004,159.059998,158.770004,159.059998,159.059998,0
2007-02-07,159.059998,159.429993,159.059998,159.429993,159.429993,0
2007-02-08,159.429993,159.479996,159.429993,159.479996,159.479996,0
2007-02-09,159.479996,159.639999,159.479996,159.639999,159.639999,0
2007-02-12,159.639999,159.639999,158.949997,158.949997,158.949997,0
2007-02-13,158.949997,159.770004,158.949997,159.770004,159.770004,0
2007-02-14,159.770004,160.479996,159.770004,160.479996,160.479996,0
2007-02-15,160.479996,161.240005,160.479996,161.240005,161.240005,0
2007-02-16,161.240005,161.240005,161.190002,161.190002,161.190002,0
2007-02-19,161.190002,161.490005,161.190002,161.490005,161.490005,0
2007-02-20,161.490005,161.490005,161.339996,161.339996,161.339996,0
2007-02-21,161.339996,161.460007,161.339996,161.460007,161.460007,0
2007-02-22,161.460007,161.460007,160.889999,160.889999,160.889999,0
2007-02-23,160.889999,161.289993,160.889999,161.289993,161.289993,0
2007-02-26,161.289993,161.740005,161.289993,161.740005,161.740005,0
2007-02-27,161.740005,162.500000,161.740005,162.500000,162.500000,0
2007-02-28,162.500000,162.500000,162.190002,162.190002,162.190002,0
2007-03-01,162.190002,162.529999,162.190002,162.529999,162.529999,0
2007-03-02,162.529999,162.529999,162.529999,162.529999,162.529999,0
2007-03-05,162.529999,162.529999,160.910004,160.910004,160.910004,0
2007-03-06,160.910004,161.169998,160.910004,161.169998,161.169998,0
2007-03-07,161.169998,161.309998,161.169998,161.309998,161.309998,0
2007-03-08,161.309998,161.529999,161.309998,161.529999,161.529999,0
2007-03-09,161.529999,161.690002,161.529999,161.690002,161.690002,0
2007-03-12,161.690002,161.919998,161.690002,161.919998,161.919998,0
2007-03-13,161.919998,162.190002,161.919998,162.190002,162.190002,0
2007-03-14,162.190002,162.190002,162.100006,162.100006,162.100006,0
2007-03-15,162.100006,162.389999,162.100006,162.389999,162.389999,0
2007-03-16,162.389999,163.850006,162.389999,163.850006,163.850006,0
2007-03-19,163.389999,163.389999,163.389999,163.389999,163.389999,0
2007-03-20,163.389999,163.389999,163.360001,163.360001,163.360001,0
2007-03-21,163.360001,163.770004,163.360001,163.770004,163.770004,0
2007-03-22,163.770004,163.770004,163.770004,163.770004,163.770004,0
2007-03-23,163.770004,163.770004,163.770004,163.770004,163.770004,0
2007-03-26,162.759995,162.759995,162.759995,162.759995,162.759995,0
2007-03-27,162.759995,163.970001,162.759995,163.970001,163.970001,0
2007-03-28,163.970001,163.970001,163.899994,163.899994,163.899994,0
